period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
in-sample,g1_vix_backwardation,L1,1,513,136,77,0.15009746588693956,0.5661764705882353,0.23728813559322032,1.0,0.06752730883813307
in-sample,g1_vix_backwardation,L1,3,513,136,192,0.3742690058479532,0.7205882352941176,0.4926557222527687,2.0,0.18921003450135798
in-sample,g1_vix_backwardation,L1,5,513,136,259,0.5048732943469786,0.7720588235294118,0.6105130824231948,3.0,0.29501381178875163
in-sample,g1_vix_backwardation,L2,1,513,32,26,0.050682261208576995,0.8125,0.09541284403669724,1.0,0.01588877855014892
in-sample,g1_vix_backwardation,L2,3,513,32,62,0.12085769980506822,0.875,0.21238071935404942,2.0,0.04691298697332058
in-sample,g1_vix_backwardation,L2,5,513,32,86,0.16764132553606237,0.875,0.2813741528394485,3.0,0.07695915400512754
in-sample,g1_vix_backwardation,L3,1,513,5,4,0.007797270955165692,0.8,0.015444015444015443,2.0,0.0024826216484608032
in-sample,g1_vix_backwardation,L3,3,513,5,10,0.01949317738791423,0.8,0.038058991436726926,3.0,0.007429390016049919
in-sample,g1_vix_backwardation,L3,5,513,5,12,0.023391812865497075,0.8,0.045454545454545456,3.0,0.012351626964123286
in-sample,g1_vix_spike,L1,1,343,136,55,0.16034985422740525,0.40441176470588236,0.22964509394572027,1.0,0.06752730883813307
in-sample,g1_vix_spike,L1,3,343,136,131,0.3819241982507289,0.5514705882352942,0.45129877586642475,2.0,0.18921003450135798
in-sample,g1_vix_spike,L1,5,343,136,175,0.5102040816326531,0.6617647058823529,0.5761843790012804,3.0,0.29501381178875163
in-sample,g1_vix_spike,L2,1,343,32,21,0.061224489795918366,0.65625,0.112,1.0,0.01588877855014892
in-sample,g1_vix_spike,L2,3,343,32,52,0.15160349854227406,0.78125,0.25393104795390176,2.0,0.04691298697332058
in-sample,g1_vix_spike,L2,5,343,32,68,0.19825072886297376,0.84375,0.3210632158782898,3.0,0.07695915400512754
in-sample,g1_vix_spike,L3,1,343,5,4,0.011661807580174927,0.8,0.022988505747126436,2.0,0.0024826216484608032
in-sample,g1_vix_spike,L3,3,343,5,10,0.029154518950437316,0.8,0.05625879043600562,3.0,0.007429390016049919
in-sample,g1_vix_spike,L3,5,343,5,12,0.03498542274052478,0.8,0.06703910614525141,3.0,0.012351626964123286
in-sample,g1_vix_momentum,L1,1,215,136,30,0.13953488372093023,0.22058823529411764,0.17094017094017092,1.0,0.06752730883813307
in-sample,g1_vix_momentum,L1,3,215,136,80,0.37209302325581395,0.40441176470588236,0.38757982823166703,3.0,0.18921003450135798
in-sample,g1_vix_momentum,L1,5,215,136,99,0.4604651162790698,0.4852941176470588,0.4725536992840096,3.0,0.29501381178875163
in-sample,g1_vix_momentum,L2,1,215,32,15,0.06976744186046512,0.46875,0.12145748987854252,1.0,0.01588877855014892
in-sample,g1_vix_momentum,L2,3,215,32,33,0.15348837209302327,0.5625,0.24116930572472597,2.0,0.04691298697332058
in-sample,g1_vix_momentum,L2,5,215,32,40,0.18604651162790697,0.65625,0.2899050905953408,3.0,0.07695915400512754
in-sample,g1_vix_momentum,L3,1,215,5,3,0.013953488372093023,0.6,0.02727272727272727,1.0,0.0024826216484608032
in-sample,g1_vix_momentum,L3,3,215,5,7,0.03255813953488372,0.6,0.06176470588235294,2.0,0.007429390016049919
in-sample,g1_vix_momentum,L3,5,215,5,9,0.04186046511627907,0.8,0.07955801104972376,3.0,0.012351626964123286
in-sample,g3_stl_fsi,L1,1,576,136,61,0.10590277777777778,0.4485294117647059,0.17134831460674158,1.0,0.06752730883813307
in-sample,g3_stl_fsi,L1,3,576,136,142,0.2465277777777778,0.4632352941176471,0.32179856115107913,2.0,0.18921003450135798
in-sample,g3_stl_fsi,L1,5,576,136,194,0.3368055555555556,0.5,0.4024896265560166,3.0,0.29501381178875163
in-sample,g3_stl_fsi,L2,1,576,32,15,0.026041666666666668,0.46875,0.049342105263157895,1.0,0.01588877855014892
