period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
in-sample,vix_backwardation,L1,1,513,136,77,0.15009746588693956,0.5661764705882353,0.23728813559322032,1.0,0.06752730883813307
in-sample,vix_backwardation,L1,3,513,136,192,0.3742690058479532,0.7205882352941176,0.4926557222527687,2.0,0.18921003450135798
in-sample,vix_backwardation,L1,5,513,136,259,0.5048732943469786,0.7720588235294118,0.6105130824231948,3.0,0.29501381178875163
in-sample,vix_backwardation,L2,1,513,32,26,0.050682261208576995,0.8125,0.09541284403669724,1.0,0.01588877855014892
in-sample,vix_backwardation,L2,3,513,32,62,0.12085769980506822,0.875,0.21238071935404942,2.0,0.04691298697332058
in-sample,vix_backwardation,L2,5,513,32,86,0.16764132553606237,0.875,0.2813741528394485,3.0,0.07695915400512754
in-sample,vix_backwardation,L3,1,513,5,4,0.007797270955165692,0.8,0.015444015444015443,2.0,0.0024826216484608032
in-sample,vix_backwardation,L3,3,513,5,10,0.01949317738791423,0.8,0.038058991436726926,3.0,0.007429390016049919
in-sample,vix_backwardation,L3,5,513,5,12,0.023391812865497075,0.8,0.045454545454545456,3.0,0.012351626964123286
in-sample,vix_spike,L1,1,504,136,74,0.14682539682539683,0.5441176470588235,0.23124999999999998,1.0,0.06752730883813307
in-sample,vix_spike,L1,3,504,136,185,0.36706349206349204,0.6838235294117647,0.47770435362061303,2.0,0.18921003450135798
in-sample,vix_spike,L1,5,504,136,247,0.49007936507936506,0.75,0.5927999999999999,3.0,0.29501381178875163
in-sample,vix_spike,L2,1,504,32,26,0.051587301587301584,0.8125,0.09701492537313432,1.0,0.01588877855014892
in-sample,vix_spike,L2,3,504,32,64,0.12698412698412698,0.875,0.22178217821782178,2.0,0.04691298697332058
in-sample,vix_spike,L2,5,504,32,84,0.16666666666666666,0.90625,0.2815533980582524,3.0,0.07695915400512754
in-sample,vix_spike,L3,1,504,5,5,0.00992063492063492,1.0,0.019646365422396856,1.0,0.0024826216484608032
in-sample,vix_spike,L3,3,504,5,13,0.025793650793650792,1.0,0.05029013539651838,3.0,0.007429390016049919
in-sample,vix_spike,L3,5,504,5,16,0.031746031746031744,1.0,0.06153846153846154,3.0,0.012351626964123286
in-sample,vix_momentum,L1,1,215,136,30,0.13953488372093023,0.22058823529411764,0.17094017094017092,1.0,0.06752730883813307
in-sample,vix_momentum,L1,3,215,136,80,0.37209302325581395,0.40441176470588236,0.38757982823166703,3.0,0.18921003450135798
in-sample,vix_momentum,L1,5,215,136,99,0.4604651162790698,0.4852941176470588,0.4725536992840096,3.0,0.29501381178875163
in-sample,vix_momentum,L2,1,215,32,15,0.06976744186046512,0.46875,0.12145748987854252,1.0,0.01588877855014892
in-sample,vix_momentum,L2,3,215,32,33,0.15348837209302327,0.5625,0.24116930572472597,2.0,0.04691298697332058
in-sample,vix_momentum,L2,5,215,32,40,0.18604651162790697,0.65625,0.2899050905953408,3.0,0.07695915400512754
in-sample,vix_momentum,L3,1,215,5,3,0.013953488372093023,0.6,0.02727272727272727,1.0,0.0024826216484608032
in-sample,vix_momentum,L3,3,215,5,7,0.03255813953488372,0.6,0.06176470588235294,2.0,0.007429390016049919
in-sample,vix_momentum,L3,5,215,5,9,0.04186046511627907,0.8,0.07955801104972376,3.0,0.012351626964123286
in-sample,volume_surge,L1,1,111,136,23,0.2072072072072072,0.16911764705882354,0.18623481781376516,1.0,0.06752730883813307
in-sample,volume_surge,L1,3,111,136,44,0.3963963963963964,0.29411764705882354,0.3376822716807368,2.5,0.18921003450135798
in-sample,volume_surge,L1,5,111,136,57,0.5135135135135135,0.3897058823529412,0.4431243124312431,3.0,0.29501381178875163
in-sample,volume_surge,L2,1,111,32,8,0.07207207207207207,0.25,0.11188811188811189,2.0,0.01588877855014892
in-sample,volume_surge,L2,3,111,32,20,0.18018018018018017,0.53125,0.2690937870993273,3.0,0.04691298697332058
in-sample,volume_surge,L2,5,111,32,23,0.2072072072072072,0.5625,0.30285296269202633,3.0,0.07695915400512754
in-sample,volume_surge,L3,1,111,5,1,0.009009009009009009,0.2,0.017241379310344827,3.0,0.0024826216484608032
in-sample,volume_surge,L3,3,111,5,4,0.036036036036036036,0.6,0.06798866855524079,3.0,0.007429390016049919
in-sample,volume_surge,L3,5,111,5,6,0.05405405405405406,0.8,0.10126582278481013,3.5,0.012351626964123286
in-sample,safe_haven,L1,1,349,136,29,0.0830945558739255,0.21323529411764705,0.1195876288659794,1.0,0.06752730883813307
in-sample,safe_haven,L1,3,349,136,71,0.2034383954154728,0.5,0.2892057026476578,2.0,0.18921003450135798
in-sample,safe_haven,L1,5,349,136,96,0.27507163323782235,0.6470588235294118,0.386035459696582,3.0,0.29501381178875163
in-sample,safe_haven,L2,1,349,32,10,0.02865329512893983,0.3125,0.05249343832020998,1.0,0.01588877855014892
in-sample,safe_haven,L2,3,349,32,22,0.06303724928366762,0.625,0.11452368558042686,2.0,0.04691298697332058
in-sample,safe_haven,L2,5,349,32,27,0.07736389684813753,0.6875,0.139077499414657,3.0,0.07695915400512754
in-sample,safe_haven,L3,1,349,5,2,0.0057306590257879654,0.4,0.011299435028248586,2.0,0.0024826216484608032
in-sample,safe_haven,L3,3,349,5,5,0.014326647564469915,0.6,0.027985074626865676,3.0,0.007429390016049919
in-sample,safe_haven,L3,5,349,5,6,0.017191977077363897,0.8,0.03366058906030856,3.0,0.012351626964123286
in-sample,corr_velocity,L1,1,266,136,19,0.07142857142857142,0.13970588235294118,0.0945273631840796,1.0,0.06752730883813307
in-sample,corr_velocity,L1,3,266,136,51,0.19172932330827067,0.23529411764705882,0.21128948731227343,3.0,0.18921003450135798
in-sample,corr_velocity,L1,5,266,136,65,0.24436090225563908,0.3235294117647059,0.27842679127725856,3.0,0.29501381178875163
in-sample,corr_velocity,L2,1,266,32,7,0.02631578947368421,0.21875,0.046979865771812075,1.0,0.01588877855014892
in-sample,corr_velocity,L2,3,266,32,17,0.06390977443609022,0.34375,0.10778097982708933,3.0,0.04691298697332058
in-sample,corr_velocity,L2,5,266,32,22,0.08270676691729323,0.46875,0.14060502769492972,3.0,0.07695915400512754
in-sample,corr_velocity,L3,1,266,5,1,0.0037593984962406013,0.2,0.007380073800738007,3.0,0.0024826216484608032
in-sample,corr_velocity,L3,3,266,5,2,0.007518796992481203,0.4,0.014760147601476014,3.5,0.007429390016049919
in-sample,corr_velocity,L3,5,266,5,3,0.011278195488721804,0.6,0.02214022140221402,4.0,0.012351626964123286
