model,date,signal,rank
v1,2026-05-22,EXTREME,3
v1,2026-05-26,EXTREME,3
v1,2026-05-27,EXTREME,3
v1,2026-05-28,EXTREME,3
v1,2026-05-29,SPIKE,2
v1,2026-06-01,SPIKE,2
v1,2026-06-02,SPIKE,2
v1,2026-06-03,CAUTION,1
v1,2026-06-04,CAUTION,1
v1,2026-06-05,SPIKE,2
v2,2026-05-22,EXTREME,3
v2,2026-05-26,EXTREME,3
v2,2026-05-27,EXTREME,3
v2,2026-05-28,EXTREME,3
v2,2026-05-29,SPIKE,2
v2,2026-06-01,SPIKE,2
v2,2026-06-02,SPIKE,2
v2,2026-06-03,CAUTION,1
v2,2026-06-04,CAUTION,1
v2,2026-06-05,SPIKE,2
v3,2026-05-22,SPIKE,2
v3,2026-05-26,SPIKE,2
v3,2026-05-27,SPIKE,2
v3,2026-05-28,SPIKE,2
v3,2026-05-29,SPIKE,2
v3,2026-06-01,SPIKE,2
v3,2026-06-02,SPIKE,2
v3,2026-06-03,SPIKE,2
v3,2026-06-04,SPIKE,2
v3,2026-06-05,SPIKE,2
