label,dcc_level,crash_level,lookahead,n_days,n_signals,signal_rate_pct,n_events,event_rate_pct,tp,precision,recall,f1,random_precision,edge_pp,lead_med_days,fp_rate_pct,dcc_level_name,crash_level_name
FWD (2025-present),1,-0.015,1,357,172,48.2,24,6.7,8,0.047,0.333,0.082,0.067,-2.1,1.0,95.3,any,L1
FWD (2025-present),1,-0.015,3,357,172,48.2,24,6.7,21,0.122,0.417,0.189,0.067,5.5,2.0,87.8,any,L1
FWD (2025-present),1,-0.015,5,357,172,48.2,24,6.7,31,0.18,0.458,0.259,0.067,11.3,3.0,82.0,any,L1
FWD (2025-present),1,-0.03,1,357,172,48.2,3,0.8,1,0.006,0.333,0.011,0.008,-0.3,1.0,99.4,any,L2
FWD (2025-present),1,-0.03,3,357,172,48.2,3,0.8,3,0.017,0.333,0.033,0.008,0.9,2.0,98.3,any,L2
FWD (2025-present),1,-0.03,5,357,172,48.2,3,0.8,3,0.017,0.333,0.033,0.008,0.9,2.0,98.3,any,L2
FWD (2025-present),2,-0.015,1,357,96,26.9,24,6.7,4,0.042,0.167,0.067,0.067,-2.6,1.0,95.8,spike,L1
FWD (2025-present),2,-0.015,3,357,96,26.9,24,6.7,10,0.104,0.25,0.147,0.067,3.7,2.5,89.6,spike,L1
FWD (2025-present),2,-0.015,5,357,96,26.9,24,6.7,14,0.146,0.292,0.194,0.067,7.9,3.5,85.4,spike,L1
FWD (2025-present),2,-0.03,1,357,96,26.9,3,0.8,1,0.01,0.333,0.02,0.008,0.2,1.0,99.0,spike,L2
FWD (2025-present),2,-0.03,3,357,96,26.9,3,0.8,3,0.031,0.333,0.057,0.008,2.3,2.0,96.9,spike,L2
FWD (2025-present),2,-0.03,5,357,96,26.9,3,0.8,3,0.031,0.333,0.057,0.008,2.3,2.0,96.9,spike,L2
FWD (2025-present),3,-0.015,1,357,48,13.4,24,6.7,3,0.062,0.125,0.083,0.067,-0.5,1.0,93.8,extreme,L1
FWD (2025-present),3,-0.015,3,357,48,13.4,24,6.7,7,0.146,0.125,0.135,0.067,7.9,2.0,85.4,extreme,L1
FWD (2025-present),3,-0.015,5,357,48,13.4,24,6.7,8,0.167,0.125,0.143,0.067,9.9,3.0,83.3,extreme,L1
FWD (2025-present),3,-0.03,1,357,48,13.4,3,0.8,1,0.021,0.333,0.039,0.008,1.2,1.0,97.9,extreme,L2
FWD (2025-present),3,-0.03,3,357,48,13.4,3,0.8,2,0.042,0.333,0.074,0.008,3.3,1.5,95.8,extreme,L2
FWD (2025-present),3,-0.03,5,357,48,13.4,3,0.8,2,0.042,0.333,0.074,0.008,3.3,1.5,95.8,extreme,L2
