label,dcc_level,crash_level,lookahead,n_days,n_signals,signal_rate_pct,n_events,event_rate_pct,tp,precision,recall,f1,random_precision,edge_pp,lead_med_days,fp_rate_pct,dcc_level_name,crash_level_name
IS (2015-2022),1,-0.015,1,1761,866,49.2,122,6.9,67,0.077,0.549,0.136,0.069,0.8,1.0,92.3,any,L1
IS (2015-2022),1,-0.015,3,1761,866,49.2,122,6.9,181,0.209,0.648,0.316,0.069,14.0,2.0,79.1,any,L1
IS (2015-2022),1,-0.015,5,1761,866,49.2,122,6.9,255,0.294,0.705,0.415,0.069,22.5,3.0,70.6,any,L1
IS (2015-2022),1,-0.03,1,1761,866,49.2,30,1.7,13,0.015,0.433,0.029,0.017,-0.2,1.0,98.5,any,L2
IS (2015-2022),1,-0.03,3,1761,866,49.2,30,1.7,38,0.044,0.567,0.081,0.017,2.7,3.0,95.6,any,L2
IS (2015-2022),1,-0.03,5,1761,866,49.2,30,1.7,56,0.065,0.667,0.118,0.017,4.8,4.0,93.5,any,L2
IS (2015-2022),2,-0.015,1,1761,404,22.9,122,6.9,36,0.089,0.295,0.137,0.069,2.0,1.0,91.1,spike,L1
IS (2015-2022),2,-0.015,3,1761,404,22.9,122,6.9,95,0.235,0.369,0.287,0.069,16.6,2.0,76.5,spike,L1
IS (2015-2022),2,-0.015,5,1761,404,22.9,122,6.9,140,0.347,0.41,0.376,0.069,27.7,3.5,65.3,spike,L1
IS (2015-2022),2,-0.03,1,1761,404,22.9,30,1.7,5,0.012,0.167,0.023,0.017,-0.5,1.0,98.8,spike,L2
IS (2015-2022),2,-0.03,3,1761,404,22.9,30,1.7,12,0.03,0.233,0.053,0.017,1.3,2.0,97.0,spike,L2
IS (2015-2022),2,-0.03,5,1761,404,22.9,30,1.7,18,0.045,0.3,0.078,0.017,2.8,3.5,95.5,spike,L2
IS (2015-2022),3,-0.015,1,1761,215,12.2,122,6.9,19,0.088,0.156,0.113,0.069,1.9,1.0,91.2,extreme,L1
IS (2015-2022),3,-0.015,3,1761,215,12.2,122,6.9,43,0.2,0.189,0.194,0.069,13.1,2.0,80.0,extreme,L1
IS (2015-2022),3,-0.015,5,1761,215,12.2,122,6.9,63,0.293,0.221,0.252,0.069,22.4,4.0,70.7,extreme,L1
IS (2015-2022),3,-0.03,1,1761,215,12.2,30,1.7,4,0.019,0.133,0.033,0.017,0.2,1.0,98.1,extreme,L2
IS (2015-2022),3,-0.03,3,1761,215,12.2,30,1.7,7,0.033,0.133,0.052,0.017,1.6,1.0,96.7,extreme,L2
IS (2015-2022),3,-0.03,5,1761,215,12.2,30,1.7,10,0.047,0.167,0.073,0.017,2.9,3.0,95.3,extreme,L2
