label,dcc_level,crash_level,lookahead,n_days,n_signals,signal_rate_pct,n_events,event_rate_pct,tp,precision,recall,f1,random_precision,edge_pp,lead_med_days,fp_rate_pct,dcc_level_name,crash_level_name
OOS (2023-2024),1,-0.015,1,502,177,35.3,16,3.2,5,0.028,0.312,0.052,0.032,-0.4,1.0,97.2,any,L1
OOS (2023-2024),1,-0.015,3,502,177,35.3,16,3.2,12,0.068,0.375,0.115,0.032,3.6,3.5,93.2,any,L1
OOS (2023-2024),1,-0.015,5,502,177,35.3,16,3.2,19,0.107,0.438,0.172,0.032,7.5,5.0,89.3,any,L1
OOS (2023-2024),1,-0.03,1,502,177,35.3,0,0.0,0,0.0,,,0.0,0.0,,100.0,any,L2
OOS (2023-2024),1,-0.03,3,502,177,35.3,0,0.0,0,0.0,,,0.0,0.0,,100.0,any,L2
OOS (2023-2024),1,-0.03,5,502,177,35.3,0,0.0,0,0.0,,,0.0,0.0,,100.0,any,L2
OOS (2023-2024),2,-0.015,1,502,14,2.8,16,3.2,1,0.071,0.062,0.067,0.032,4.0,1.0,92.9,spike,L1
OOS (2023-2024),2,-0.015,3,502,14,2.8,16,3.2,1,0.071,0.062,0.067,0.032,4.0,1.0,92.9,spike,L1
OOS (2023-2024),2,-0.015,5,502,14,2.8,16,3.2,3,0.214,0.125,0.158,0.032,18.2,7.0,78.6,spike,L1
OOS (2023-2024),2,-0.03,1,502,14,2.8,0,0.0,0,0.0,,,0.0,0.0,,100.0,spike,L2
OOS (2023-2024),2,-0.03,3,502,14,2.8,0,0.0,0,0.0,,,0.0,0.0,,100.0,spike,L2
OOS (2023-2024),2,-0.03,5,502,14,2.8,0,0.0,0,0.0,,,0.0,0.0,,100.0,spike,L2
OOS (2023-2024),3,-0.015,1,502,3,0.6,16,3.2,0,0.0,0.0,,0.032,-3.2,,100.0,extreme,L1
OOS (2023-2024),3,-0.015,3,502,3,0.6,16,3.2,0,0.0,0.0,,0.032,-3.2,,100.0,extreme,L1
OOS (2023-2024),3,-0.015,5,502,3,0.6,16,3.2,0,0.0,0.0,,0.032,-3.2,,100.0,extreme,L1
OOS (2023-2024),3,-0.03,1,502,3,0.6,0,0.0,0,0.0,,,0.0,0.0,,100.0,extreme,L2
OOS (2023-2024),3,-0.03,3,502,3,0.6,0,0.0,0,0.0,,,0.0,0.0,,100.0,extreme,L2
OOS (2023-2024),3,-0.03,5,502,3,0.6,0,0.0,0,0.0,,,0.0,0.0,,100.0,extreme,L2
