model,label,dcc_level,crash_level,lookahead,n_days,n_signals,signal_rate_pct,n_events,event_rate_pct,tp,precision,recall,f1,random_precision,edge_pp,lead_med_days,fp_rate_pct,dcc_level_name,crash_level_name
v3,IS (2015-2022),1,-0.015,1,1761,984,55.9,122,6.9,86,0.087,0.705,0.156,0.069,1.8,1.0,91.3,any,L1
v3,IS (2015-2022),1,-0.015,3,1761,984,55.9,122,6.9,207,0.21,0.77,0.33,0.069,14.1,2.0,79.0,any,L1
v3,IS (2015-2022),1,-0.015,5,1761,984,55.9,122,6.9,290,0.295,0.844,0.437,0.069,22.5,3.0,70.5,any,L1
v3,IS (2015-2022),1,-0.03,1,1761,984,55.9,30,1.7,26,0.026,0.867,0.051,0.017,0.9,1.0,97.4,any,L2
v3,IS (2015-2022),1,-0.03,3,1761,984,55.9,30,1.7,63,0.064,0.9,0.12,0.017,4.7,2.0,93.6,any,L2
v3,IS (2015-2022),1,-0.03,5,1761,984,55.9,30,1.7,85,0.086,0.9,0.158,0.017,6.9,3.0,91.4,any,L2
v3,IS (2015-2022),2,-0.015,1,1761,371,21.1,122,6.9,29,0.078,0.238,0.118,0.069,0.9,1.0,92.2,spike,L1
v3,IS (2015-2022),2,-0.015,3,1761,371,21.1,122,6.9,77,0.208,0.279,0.238,0.069,13.8,3.0,79.2,spike,L1
v3,IS (2015-2022),2,-0.015,5,1761,371,21.1,122,6.9,118,0.318,0.303,0.31,0.069,24.9,4.0,68.2,spike,L1
v3,IS (2015-2022),2,-0.03,1,1761,371,21.1,30,1.7,5,0.013,0.167,0.025,0.017,-0.4,1.0,98.7,spike,L2
v3,IS (2015-2022),2,-0.03,3,1761,371,21.1,30,1.7,13,0.035,0.233,0.061,0.017,1.8,3.0,96.5,spike,L2
v3,IS (2015-2022),2,-0.03,5,1761,371,21.1,30,1.7,19,0.051,0.233,0.084,0.017,3.4,4.0,94.9,spike,L2
v3,IS (2015-2022),3,-0.015,1,1761,158,9.0,122,6.9,8,0.051,0.066,0.057,0.069,-1.9,1.0,94.9,extreme,L1
v3,IS (2015-2022),3,-0.015,3,1761,158,9.0,122,6.9,28,0.177,0.107,0.133,0.069,10.8,3.0,82.3,extreme,L1
v3,IS (2015-2022),3,-0.015,5,1761,158,9.0,122,6.9,42,0.266,0.139,0.183,0.069,19.7,4.0,73.4,extreme,L1
v3,IS (2015-2022),3,-0.03,1,1761,158,9.0,30,1.7,1,0.006,0.033,0.011,0.017,-1.1,1.0,99.4,extreme,L2
v3,IS (2015-2022),3,-0.03,3,1761,158,9.0,30,1.7,5,0.032,0.067,0.043,0.017,1.5,3.0,96.8,extreme,L2
v3,IS (2015-2022),3,-0.03,5,1761,158,9.0,30,1.7,6,0.038,0.1,0.055,0.017,2.1,3.5,96.2,extreme,L2
v3,OOS (2023-2024),1,-0.015,1,502,234,46.6,16,3.2,8,0.034,0.5,0.064,0.032,0.2,1.0,96.6,any,L1
v3,OOS (2023-2024),1,-0.015,3,502,234,46.6,16,3.2,22,0.094,0.562,0.161,0.032,6.2,2.5,90.6,any,L1
v3,OOS (2023-2024),1,-0.015,5,502,234,46.6,16,3.2,32,0.137,0.562,0.22,0.032,10.5,4.0,86.3,any,L1
v3,OOS (2023-2024),1,-0.03,1,502,234,46.6,0,0.0,0,0.0,,,0.0,0.0,,100.0,any,L2
v3,OOS (2023-2024),1,-0.03,3,502,234,46.6,0,0.0,0,0.0,,,0.0,0.0,,100.0,any,L2
v3,OOS (2023-2024),1,-0.03,5,502,234,46.6,0,0.0,0,0.0,,,0.0,0.0,,100.0,any,L2
v3,OOS (2023-2024),2,-0.015,1,502,24,4.8,16,3.2,1,0.042,0.062,0.05,0.032,1.0,4.0,95.8,spike,L1
v3,OOS (2023-2024),2,-0.015,3,502,24,4.8,16,3.2,6,0.25,0.188,0.214,0.032,21.8,4.5,75.0,spike,L1
v3,OOS (2023-2024),2,-0.015,5,502,24,4.8,16,3.2,8,0.333,0.188,0.24,0.032,30.1,5.0,66.7,spike,L1
v3,OOS (2023-2024),2,-0.03,1,502,24,4.8,0,0.0,0,0.0,,,0.0,0.0,,100.0,spike,L2
v3,OOS (2023-2024),2,-0.03,3,502,24,4.8,0,0.0,0,0.0,,,0.0,0.0,,100.0,spike,L2
v3,OOS (2023-2024),2,-0.03,5,502,24,4.8,0,0.0,0,0.0,,,0.0,0.0,,100.0,spike,L2
v3,OOS (2023-2024),3,-0.015,1,502,12,2.4,16,3.2,1,0.083,0.062,0.071,0.032,5.1,4.0,91.7,extreme,L1
v3,OOS (2023-2024),3,-0.015,3,502,12,2.4,16,3.2,5,0.417,0.125,0.192,0.032,38.5,4.0,58.3,extreme,L1
v3,OOS (2023-2024),3,-0.015,5,502,12,2.4,16,3.2,7,0.583,0.125,0.206,0.032,55.1,5.0,41.7,extreme,L1
v3,OOS (2023-2024),3,-0.03,1,502,12,2.4,0,0.0,0,0.0,,,0.0,0.0,,100.0,extreme,L2
v3,OOS (2023-2024),3,-0.03,3,502,12,2.4,0,0.0,0,0.0,,,0.0,0.0,,100.0,extreme,L2
v3,OOS (2023-2024),3,-0.03,5,502,12,2.4,0,0.0,0,0.0,,,0.0,0.0,,100.0,extreme,L2
v3,FWD (2025-present),1,-0.015,1,357,197,55.2,24,6.7,13,0.066,0.542,0.118,0.067,-0.1,1.0,93.4,any,L1
v3,FWD (2025-present),1,-0.015,3,357,197,55.2,24,6.7,32,0.162,0.625,0.258,0.067,9.5,2.0,83.8,any,L1
v3,FWD (2025-present),1,-0.015,5,357,197,55.2,24,6.7,44,0.223,0.667,0.335,0.067,15.6,3.0,77.7,any,L1
v3,FWD (2025-present),1,-0.03,1,357,197,55.2,3,0.8,3,0.015,1.0,0.03,0.008,0.7,1.0,98.5,any,L2
v3,FWD (2025-present),1,-0.03,3,357,197,55.2,3,0.8,6,0.03,1.0,0.059,0.008,2.2,1.5,97.0,any,L2
v3,FWD (2025-present),1,-0.03,5,357,197,55.2,3,0.8,7,0.036,1.0,0.069,0.008,2.7,2.0,96.4,any,L2
v3,FWD (2025-present),2,-0.015,1,357,99,27.7,24,6.7,7,0.071,0.292,0.114,0.067,0.3,1.0,92.9,spike,L1
v3,FWD (2025-present),2,-0.015,3,357,99,27.7,24,6.7,17,0.172,0.292,0.216,0.067,10.4,2.0,82.8,spike,L1
v3,FWD (2025-present),2,-0.015,5,357,99,27.7,24,6.7,24,0.242,0.292,0.265,0.067,17.5,3.5,75.8,spike,L1
v3,FWD (2025-present),2,-0.03,1,357,99,27.7,3,0.8,1,0.01,0.333,0.02,0.008,0.2,1.0,99.0,spike,L2
v3,FWD (2025-present),2,-0.03,3,357,99,27.7,3,0.8,3,0.03,0.333,0.056,0.008,2.2,2.0,97.0,spike,L2
v3,FWD (2025-present),2,-0.03,5,357,99,27.7,3,0.8,3,0.03,0.333,0.056,0.008,2.2,2.0,97.0,spike,L2
v3,FWD (2025-present),3,-0.015,1,357,32,9.0,24,6.7,4,0.125,0.167,0.143,0.067,5.8,1.0,87.5,extreme,L1
v3,FWD (2025-present),3,-0.015,3,357,32,9.0,24,6.7,8,0.25,0.167,0.2,0.067,18.3,2.0,75.0,extreme,L1
v3,FWD (2025-present),3,-0.015,5,357,32,9.0,24,6.7,9,0.281,0.167,0.209,0.067,21.4,2.0,71.9,extreme,L1
v3,FWD (2025-present),3,-0.03,1,357,32,9.0,3,0.8,1,0.031,0.333,0.057,0.008,2.3,1.0,96.9,extreme,L2
v3,FWD (2025-present),3,-0.03,3,357,32,9.0,3,0.8,3,0.094,0.333,0.146,0.008,8.5,2.0,90.6,extreme,L2
v3,FWD (2025-present),3,-0.03,5,357,32,9.0,3,0.8,3,0.094,0.333,0.146,0.008,8.5,2.0,90.6,extreme,L2
