,2026-05-22,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05
g1_vix_backwardation,False,False,False,False,False,False,False,False,False,True
g1_vix_spike,False,False,False,False,False,False,False,False,False,True
g1_vix_momentum,False,False,False,False,False,False,False,False,False,True
g2_hy_static,False,False,False,False,False,False,False,False,False,False
g2_hy_zscore,False,False,False,False,False,False,False,False,False,False
g2_ig_static,False,False,False,False,False,False,False,False,False,False
g4_yc_10y2y,False,False,False,False,False,False,False,False,False,False
g4_yc_10y3m,False,False,False,False,False,False,False,False,False,False
g5_fg_extreme_fear,False,False,False,False,False,False,False,False,False,False
g5_fg_fear_zone,False,False,False,False,False,False,False,False,False,False
g6_sector_convergent,False,False,False,False,False,False,False,False,False,False
g7_rsi_oversold,False,False,False,False,False,False,False,False,False,False
g7_price_zscore,True,True,True,True,True,True,True,True,True,True
g8_layer_a_bearish,False,False,False,False,False,False,False,False,False,False
g9_crisis_composite_red,False,False,False,False,False,False,False,False,False,False
g10_volume_surge,False,False,False,False,False,False,False,False,False,False
g11_safe_haven,False,False,False,False,False,False,False,False,False,False
g11_corr_velocity,False,False,False,False,False,False,False,False,False,False
g12_composite,False,False,False,False,False,False,False,False,False,True
