period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
forward,vix_backwardation,L1,1,68,24,11,0.16176470588235295,0.4583333333333333,0.2391304347826087,1.0,0.0672268907563025
forward,vix_backwardation,L1,3,68,24,28,0.4117647058823529,0.5416666666666666,0.46786632390745503,2.0,0.18842613664348584
forward,vix_backwardation,L1,5,68,24,35,0.5147058823529411,0.5833333333333334,0.5468749999999999,3.0,0.2938774401231826
forward,vix_backwardation,L2,1,68,3,3,0.04411764705882353,1.0,0.08450704225352113,1.0,0.008403361344537785
forward,vix_backwardation,L2,3,68,3,7,0.10294117647058823,1.0,0.18666666666666665,2.0,0.02499882800376696
forward,vix_backwardation,L2,5,68,3,10,0.14705882352941177,1.0,0.25641025641025644,2.5,0.041316551170429316
forward,vix_backwardation,L3,1,68,1,1,0.014705882352941176,1.0,0.028985507246376812,1.0,0.0028011204481792618
forward,vix_backwardation,L3,3,68,1,3,0.04411764705882353,1.0,0.08450704225352113,2.0,0.008379844495605693
forward,vix_backwardation,L3,5,68,1,5,0.07352941176470588,1.0,0.13698630136986303,3.0,0.013927358959231362
forward,vix_spike,L1,1,64,24,9,0.140625,0.375,0.20454545454545456,1.0,0.0672268907563025
forward,vix_spike,L1,3,64,24,26,0.40625,0.5833333333333334,0.4789473684210527,2.0,0.18842613664348584
forward,vix_spike,L1,5,64,24,35,0.546875,0.625,0.5833333333333334,3.0,0.2938774401231826
forward,vix_spike,L2,1,64,3,2,0.03125,0.6666666666666666,0.05970149253731343,1.0,0.008403361344537785
forward,vix_spike,L2,3,64,3,4,0.0625,0.6666666666666666,0.11428571428571428,1.5,0.02499882800376696
forward,vix_spike,L2,5,64,3,5,0.078125,0.6666666666666666,0.13986013986013984,2.0,0.041316551170429316
forward,vix_spike,L3,1,64,1,1,0.015625,1.0,0.03076923076923077,1.0,0.0028011204481792618
forward,vix_spike,L3,3,64,1,1,0.015625,1.0,0.03076923076923077,1.0,0.008379844495605693
forward,vix_spike,L3,5,64,1,1,0.015625,1.0,0.03076923076923077,1.0,0.013927358959231362
forward,vix_momentum,L1,1,35,24,5,0.14285714285714285,0.20833333333333334,0.1694915254237288,1.0,0.0672268907563025
forward,vix_momentum,L1,3,35,24,17,0.4857142857142857,0.4166666666666667,0.44854881266490765,2.0,0.18842613664348584
forward,vix_momentum,L1,5,35,24,22,0.6285714285714286,0.5833333333333334,0.6051080550098231,2.5,0.2938774401231826
forward,vix_momentum,L2,1,35,3,2,0.05714285714285714,0.6666666666666666,0.10526315789473684,1.0,0.008403361344537785
forward,vix_momentum,L2,3,35,3,6,0.17142857142857143,1.0,0.2926829268292683,2.0,0.02499882800376696
forward,vix_momentum,L2,5,35,3,7,0.2,1.0,0.33333333333333337,2.0,0.041316551170429316
forward,vix_momentum,L3,1,35,1,1,0.02857142857142857,1.0,0.05555555555555556,1.0,0.0028011204481792618
forward,vix_momentum,L3,3,35,1,2,0.05714285714285714,1.0,0.1081081081081081,2.0,0.008379844495605693
forward,vix_momentum,L3,5,35,1,3,0.08571428571428572,1.0,0.15789473684210528,3.0,0.013927358959231362
forward,volume_surge,L1,1,16,24,4,0.25,0.16666666666666666,0.2,1.0,0.0672268907563025
forward,volume_surge,L1,3,16,24,8,0.5,0.25,0.3333333333333333,1.5,0.18842613664348584
forward,volume_surge,L1,5,16,24,9,0.5625,0.3333333333333333,0.4186046511627907,2.0,0.2938774401231826
forward,volume_surge,L2,1,16,3,2,0.125,0.6666666666666666,0.21052631578947367,1.0,0.008403361344537785
forward,volume_surge,L2,3,16,3,4,0.25,0.6666666666666666,0.36363636363636365,1.5,0.02499882800376696
forward,volume_surge,L2,5,16,3,5,0.3125,0.6666666666666666,0.425531914893617,2.0,0.041316551170429316
forward,volume_surge,L3,1,16,1,1,0.0625,1.0,0.11764705882352941,1.0,0.0028011204481792618
forward,volume_surge,L3,3,16,1,1,0.0625,1.0,0.11764705882352941,1.0,0.008379844495605693
forward,volume_surge,L3,5,16,1,1,0.0625,1.0,0.11764705882352941,1.0,0.013927358959231362
