period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
oos,vix_backwardation,L1,1,131,16,9,0.06870229007633588,0.5625,0.12244897959183675,1.0,0.031936127744510934
oos,vix_backwardation,L1,3,131,16,19,0.1450381679389313,0.5625,0.23061362103843558,2.0,0.09278120664341005
oos,vix_backwardation,L1,5,131,16,30,0.22900763358778625,0.6875,0.3435710567412806,3.0,0.1498020300026538
oos,vix_backwardation,L2,1,131,0,0,0.0,0.0,0.0,,0.0
oos,vix_backwardation,L2,3,131,0,0,0.0,0.0,0.0,,0.0
oos,vix_backwardation,L2,5,131,0,0,0.0,0.0,0.0,,0.0
oos,vix_backwardation,L3,1,131,0,0,0.0,0.0,0.0,,0.0
oos,vix_backwardation,L3,3,131,0,0,0.0,0.0,0.0,,0.0
oos,vix_backwardation,L3,5,131,0,0,0.0,0.0,0.0,,0.0
oos,vix_spike,L1,1,57,16,2,0.03508771929824561,0.125,0.0547945205479452,2.0,0.031936127744510934
oos,vix_spike,L1,3,57,16,4,0.07017543859649122,0.25,0.1095890410958904,4.0,0.09278120664341005
oos,vix_spike,L1,5,57,16,7,0.12280701754385964,0.25,0.16470588235294117,5.0,0.1498020300026538
oos,vix_spike,L2,1,57,0,0,0.0,0.0,0.0,,0.0
oos,vix_spike,L2,3,57,0,0,0.0,0.0,0.0,,0.0
oos,vix_spike,L2,5,57,0,0,0.0,0.0,0.0,,0.0
oos,vix_spike,L3,1,57,0,0,0.0,0.0,0.0,,0.0
oos,vix_spike,L3,3,57,0,0,0.0,0.0,0.0,,0.0
oos,vix_spike,L3,5,57,0,0,0.0,0.0,0.0,,0.0
oos,vix_momentum,L1,1,41,16,1,0.024390243902439025,0.0625,0.03508771929824562,3.0,0.031936127744510934
oos,vix_momentum,L1,3,41,16,5,0.12195121951219512,0.25,0.16393442622950818,3.0,0.09278120664341005
oos,vix_momentum,L1,5,41,16,7,0.17073170731707318,0.3125,0.22082018927444796,3.0,0.1498020300026538
oos,vix_momentum,L2,1,41,0,0,0.0,0.0,0.0,,0.0
oos,vix_momentum,L2,3,41,0,0,0.0,0.0,0.0,,0.0
oos,vix_momentum,L2,5,41,0,0,0.0,0.0,0.0,,0.0
oos,vix_momentum,L3,1,41,0,0,0.0,0.0,0.0,,0.0
oos,vix_momentum,L3,3,41,0,0,0.0,0.0,0.0,,0.0
