fold,train_exp,S,T,test_n,test_exp,test_pf
1,-2.453194360596815,1.0,1.5,76,108.71111615214075,1.9163101582083844
2,9.284212358417951,1.0,2.0,78,-30.56882879640537,0.8060329927598414
3,-0.23525899134626313,1.0,1.5,79,-21.6878417166158,0.8363580482518153
4,7.997860465665208,1.0,1.5,117,2.8684397272197946,1.0120134377438057
5,45.40919115365772,1.5,1.0,87,7.790822401322647,1.0491672807621748
6,34.2913360214934,1.5,1.0,70,83.46049411478697,1.8574791446301153
7,49.3803840902193,1.5,1.0,119,24.567224559041325,1.1645933698656028
8,40.099757848865046,2.0,1.0,57,-80.56583651357955,0.7100021345855787
9,33.76869411157086,1.5,1.0,62,-34.77635321721555,0.8397899776539438
10,16.74634941799613,1.5,1.0,81,42.22002047474824,1.3401880400828101
11,22.903936681079955,1.0,1.0,64,-68.9368057781988,0.577679386886951
12,24.892783215019822,1.0,1.0,82,31.617001304961107,1.2530211778940956
13,-22.39622484137866,1.0,1.0,82,-8.019256292148718,0.9418225062848782
14,10.161294831956065,1.0,2.0,93,-201.14423576893628,0.2974459354073008
15,-3.0298229247645083,2.0,2.0,84,-122.6917998185864,0.535723125756194
