symbol,side,entry_time,entry,exit_time,exit,exit_reason,net_bps
AAPL,short,2018-08-31,53.55648297936392,2018-09-06,52.369024607234394,target,215.7207527587406
MSFT,long,2018-10-31,97.79473990349346,2018-11-07,102.945693577044,target,520.7107084321343
MSFT,long,2018-11-21,96.50325392014697,2018-11-28,101.34904250609749,target,496.1373258522699
NVDA,long,2018-08-21,6.143796757792996,2018-08-22,6.400341560677739,target,411.56720314573005
NVDA,long,2018-11-21,3.824842525477642,2018-12-06,3.919545888900757,time,241.60068628260302
NVDA,short,2018-08-16,6.475089539006796,2018-08-17,6.253568622621382,target,336.11251450801285
AMZN,long,2018-10-31,78.49949645996094,2018-11-02,84.49739374559823,target,758.0682496220275
AMZN,long,2018-11-21,77.14949798583984,2018-11-28,82.93749123200423,target,744.230837176249
META,long,2018-10-31,153.65070640888268,2018-10-31,148.2580859108968,stop,-356.96620276092284
META,long,2018-11-21,133.23003563116546,2018-12-03,141.75516267065694,target,633.8802641689949
META,long,2018-12-21,132.22882859152864,2018-12-21,126.93943220153234,stop,-406.01839586251697
META,long,2018-12-27,131.2871037414817,2019-01-08,140.4348907454518,target,690.7772723498466
META,short,2019-02-01,164.39634462521155,2019-02-05,170.33587335048725,stop,-367.2932354923437
GOOGL,long,2018-09-06,59.40177671377289,2018-09-06,58.26752225184585,stop,-196.9462182238153
GOOGL,long,2018-10-29,54.345113230013254,2018-10-29,52.525672316026714,stop,-340.7938399329187
GOOGL,short,2018-12-04,55.1603890404055,2018-12-04,52.837023553990676,target,415.2017947721391
TSLA,long,2018-09-10,18.21733283996582,2018-09-13,19.64730474529508,target,778.9512976960815
TSLA,short,2018-12-10,24.0,2018-12-13,24.99375498959118,stop,-420.0645789963249
AMD,short,2018-08-28,25.510000228881836,2018-09-04,26.57184272797425,stop,-422.2455858742886
AMD,short,2018-09-14,31.43000030517578,2018-09-17,33.163457523736774,stop,-557.5294946642224
AMD,short,2019-01-10,19.760000228881836,2019-01-24,20.850000381469727,time,-557.6195040295147
SPY,long,2018-12-07,239.65393555098828,2018-12-07,235.26397204644445,stop,-189.1792786732611
